frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M40484.tif:0701-2844,145856,222.833,73,235,2672,489,344,424,478.433,388.162,90,0.777,1.233,0.811,1.000
2,M40484.tif:0978-2217,820605,223.422,170,248,1856,411,723,1135,1280.710,815.818,90,0.747,1.570,0.637,1.000
3,M40484.tif:1009-2736,92106,219.389,173,237,2583,859,306,301,345.284,339.642,0,0.785,1.017,0.984,1.000
4,M40484.tif:1331-2893,134244,223.872,181,236,2724,1133,339,396,446.838,382.521,90,0.781,1.168,0.856,1.000
5,M40484.tif:1675-2916,81747,227.687,189,239,2770,1536,293,279,330.615,314.818,0,0.785,1.050,0.952,1.000
6,M40484.tif:2256-2980,91688,223.674,184,239,2834,2099,292,314,354.311,329.487,90,0.784,1.075,0.930,1.000
7,M40484.tif:1945-2604,215936,229.777,193,245,2363,1721,482,448,543.879,505.514,0,0.784,1.076,0.929,1.000
8,M40484.tif:1803-2018,309015,227.005,189,238,1735,1531,567,545,639.791,614.967,0,0.785,1.040,0.961,1.000
9,M40484.tif:1530-1514,184392,227.790,194,238,1280,1333,468,394,528.081,444.581,0,0.780,1.188,0.842,1.000
10,M40484.tif:0946-1137,941760,228.200,180,239,483,586,1308,720,1475.920,812.433,0,0.719,1.817,0.550,1.000
11,M40484.tif:1634-0918,193914,229.492,198,239,662,1445,513,378,578.859,426.527,0,0.767,1.357,0.737,1.000
12,M40484.tif:2050-0926,133152,230.355,209,237,698,1904,456,292,514.541,329.487,0,0.748,1.562,0.640,1.000
13,M40484.tif:2062-1463,139216,225.663,194,238,1237,1908,452,308,510.027,347.541,0,0.757,1.468,0.681,1.000
14,M40484.tif:2345-1238,102712,230.273,202,240,1090,2172,296,347,391.548,334.000,90,0.780,1.172,0.853,1.000
15,M40484.tif:2447-1608,57820,226.617,197,239,1461,2349,295,196,332.872,221.162,0,0.753,1.505,0.664,1.000
16,M40484.tif:2290-2006,112068,228.167,196,239,1808,2149,396,283,446.838,319.331,0,0.764,1.399,0.715,1.000
17,M40484.tif:2317-2428,86592,229.776,196,241,2264,2185,328,264,370.108,297.892,0,0.776,1.242,0.805,1.000
18,M40484.tif:2700-2314,411840,231.888,189,248,1274,2601,2080,198,2347.029,223.419,0,0.249,10.505,0.095,1.000
