 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M40442.tif:0751-2520,1029996,206.613,0,255,1926,318,1188,867,1340.514,978.305,0,0.766,1.370,0.730,1.000
2,M40442.tif:1332-2974,351090,215.680,0,255,2622,1083,705,498,795.507,561.933,0,0.762,1.416,0.706,1.000
3,M40442.tif:1288-2533,165213,216.824,0,255,2217,1158,633,261,714.264,294.507,0,0.649,2.425,0.412,1.000
4,M40442.tif:2050-2796,1472202,209.864,0,255,2199,1434,1194,1233,1391.292,1347.285,90,0.785,1.033,0.968,1.000
5,M40442.tif:2017-1999,151659,199.377,0,255,1794,1833,411,369,463.764,416.372,0,0.783,1.114,0.898,1.000
6,M40442.tif:2230-1360,557235,192.108,0,255,903,1926,915,609,1032.467,687.183,0,0.754,1.502,0.666,1.000
7,M40442.tif:1698-0748,519390,193.182,0,255,450,1263,597,870,981.690,673.642,90,0.758,1.457,0.686,1.000
8,M40442.tif:0756-0910,725400,169.093,33,250,423,384,975,744,1100.170,839.514,0,0.771,1.310,0.763,1.000
9,M40442.tif:1290-1642,1494018,163.408,0,255,1074,633,1137,1314,1482.690,1282.967,90,0.781,1.156,0.865,1.000
