frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M40481.tif:0761-3337,232044,184.944,82,233,3020,578,634,366,715.392,412.987,0,0.729,1.732,0.577,1.000
2,M40481.tif:1216-3576,236466,191.907,81,224,3425,825,302,783,883.521,340.771,90,0.631,2.593,0.386,1.000
3,M40481.tif:1344-3071,376745,177.965,20,227,2822,967,499,755,851.926,563.061,90,0.753,1.513,0.661,1.000
4,M40481.tif:1245-2674,247932,186.597,83,229,2461,954,426,582,656.717,480.690,90,0.767,1.366,0.732,1.000
5,M40481.tif:1132-2221,170392,181.774,66,223,2041,896,361,472,532.595,407.345,90,0.771,1.307,0.765,1.000
6,M40481.tif:0661-2535,211439,187.797,76,222,2202,503,667,317,752.629,357.696,0,0.686,2.104,0.475,1.000
7,M40481.tif:0747-1983,92610,179.904,77,225,1826,600,315,294,355.439,331.743,0,0.784,1.071,0.933,1.000
8,M40481.tif:0705-1508,108332,183.055,8,219,1253,599,511,212,576.602,239.216,0,0.651,2.410,0.415,1.000
9,M40481.tif:0942-0944,403572,184.834,51,241,646,604,597,676,762.784,673.642,90,0.782,1.132,0.883,1.000
10,M40481.tif:1302-1127,222780,179.815,51,230,890,1067,474,470,534.852,530.338,0,0.785,1.009,0.992,1.000
11,M40481.tif:1634-0732,157168,177.201,83,222,544,1425,376,418,471.662,424.271,90,0.783,1.112,0.900,1.000
12,M40481.tif:1790-1115,167265,159.232,74,225,909,1588,413,405,466.021,456.994,0,0.785,1.020,0.981,1.000
13,M40481.tif:2182-0844,174200,184.400,75,222,682,1914,325,536,604.811,366.723,90,0.738,1.649,0.606,1.000
14,M40481.tif:2305-1200,165968,176.751,69,221,975,2121,451,368,508.899,415.244,0,0.777,1.226,0.816,1.000
15,M40481.tif:2586-1007,128405,181.529,81,229,797,2434,421,305,475.048,344.156,0,0.765,1.380,0.724,1.000
16,M40481.tif:2653-1591,118736,162.340,78,228,1410,2489,362,328,408.473,370.108,0,0.783,1.104,0.906,1.000
17,M40481.tif:2645-1997,170694,181.798,55,228,1736,2482,522,327,589.014,368.980,0,0.744,1.596,0.626,1.000
18,M40481.tif:2231-2061,258175,166.079,76,229,1774,2007,575,449,648.818,506.642,0,0.774,1.281,0.781,1.000
19,M40481.tif:2503-2653,114219,183.370,120,228,2482,2337,343,333,387.034,375.750,0,0.785,1.030,0.971,1.000
20,M40481.tif:2220-2642,122232,197.803,90,227,2411,2088,463,264,522.440,297.892,0,0.727,1.754,0.570,1.000
21,M40481.tif:2548-3115,256761,170.589,68,230,2812,2337,607,423,684.926,477.304,0,0.760,1.435,0.697,1.000
22,M40481.tif:2006-3353,287028,191.904,77,228,3115,1705,476,603,680.413,537.108,90,0.775,1.267,0.789,1.000
23,M40481.tif:1885-2729,277137,195.548,86,227,2439,1647,581,477,655.588,538.237,0,0.778,1.218,0.821,1.000
24,M40481.tif:1698-2144,289656,183.581,81,229,1901,1400,486,596,672.514,548.392,90,0.777,1.226,0.815,1.000
25,M40481.tif:1926-1567,374884,166.519,70,226,1269,1612,596,629,709.750,672.514,90,0.785,1.055,0.948,1.000
26,M40481.tif:1321-1753,247086,191.837,84,230,1494,1083,518,477,584.500,538.237,0,0.784,1.086,0.921,1.000
27,M40481.tif:1015-1654,157509,164.102,74,228,1418,849,473,333,533.723,375.750,0,0.762,1.420,0.704,1.000
28,M40481.tif:2944-1989,526592,208.315,23,236,901,2823,2176,242,2455.353,273.068,0,0.283,8.992,0.111,1.000
